사업소| 호기 | 일자| 용량(MW)| 발전량(MWh)| 열효율(%)| 이용율(%)| 발전원
영흥| 5| 201407| 870| 566545.72| 37.49| 87.53| 석탄
영흥| 6| 201407| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201407| 1| 110.87| 0| 14.9| 태양력
영흥태양광| 2| 201407| 0.99| 108.46| 0| 14.73| 태양력
영흥풍력| 1| 201407| 22| 1328.11| 0| 8.11| 풍력
영흥풍력| 2| 201407| 24| 1483.06| 0| 8.31| 풍력
영흥해양소수력| 1| 201407| 3| 730.87| 0| 32.75| 소수력
영흥해양소수력| 2| 201407| 4.6| 1137.14| 0| 33.23| 소수력
영흥해양소수력| 3| 201407| 5| 1398.42| 0| 37.59| 소수력
예천태양광| 1| 201407| 2.01| 241.54| 0| 16.15| 태양력
탑선태양광| 1| 201407| 0.61| 62.57| 0| 13.79| 태양력
탑선태양광| 3| 201407| 0.4| 36.68| 0| 12.33| 태양력
탕정태양광| 1| 201407| 1.2| 2.02| 0| .23| 태양력
경상대태양광| 1| 201406| 0.91| 97.59| 0| 14.89| 태양력
구미태양광| 1| 201406| 0.99| 108.57| 0| 15.23| 태양력
분당| CG6| 201406| 77.76| 22384| 28.61| 39.98| 복합
분당| CG7| 201406| 77.76| 11686| 29| 20.87| 복합
분당| CG8| 201406| 77.76| 21998| 28.36| 39.29| 복합
분당| CS2| 201406| 115| 23704| 0| 28.63| 복합
분당연료전지| 1| 201406| 0.3| 105.51| 37.42| 48.85| 기타
분당연료전지| 2| 201406| 3.08| 2009.91| 36.43| 90.63| 기타
삼천포| 1| 201406| 560| 397004| 36.89| 98.46| 석탄
삼천포| 2| 201406| 560| 405594| 35.43| 100.59| 석탄
삼천포| 3| 201406| 560| 372480| 37.29| 92.38| 석탄
삼천포| 4| 201406| 560| 394738| 37.79| 97.9| 석탄
삼천포| 5| 201406| 500| 356405| 38.03| 99| 석탄
삼천포| 6| 201406| 500| 355152| 38.55| 98.65| 석탄
삼천포태양광| 1| 201406| 0.1| 8.92| 0| 12.39| 태양력
삼천포태양광| 2| 201406| 0.99| 106.55| 0| 14.95| 태양력
삼천포태양광| 3| 201406| 0.35| 36.84| 0| 14.62| 태양력
삼천포태양광| 4| 201406| 1.85| 193.82| 0| 14.55| 태양력
삼천포해양소수력| 1| 201406| 6| 2706.58| 0| 62.65| 소수력
여수| 2| 201406| 328.6| 240610| 38.52| 101.7| 석탄
여수태양광| 1| 201406| 0.22| 20.91| 0| 13.2| 태양력
영동| 1| 201406| 125| 86430.4| 34.4| 96.03| 국내탄
영동| 2| 201406| 200| 136628| 35.5| 94.88| 국내탄
영동태양광| 1| 201406| 1.07| 106.7| 0| 13.85| 태양력
영흥| 1| 201406| 800| 463630| 39.42| 80.49| 석탄
영흥| 2| 201406| 800| 425113| 38.18| 73.8| 석탄
영흥| 3| 201406| 870| 618458.51| 40.37| 98.73| 석탄
영흥| 4| 201406| 870| 620010.41| 39.64| 98.98| 석탄
영흥| 5| 201406| 870| 430872.92| 26.89| 68.79| 석탄
영흥| 6| 201406| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201406| 1| 119.88| 0| 16.65| 태양력
영흥태양광| 2| 201406| 0.99| 111.71| 0| 15.67| 태양력
영흥풍력| 1| 201406| 22| 589.65| 0| 3.72| 풍력
영흥풍력| 2| 201406| 24| 508.15| 0| 2.94| 풍력
영흥해양소수력| 1| 201406| 3| 548.36| 0| 25.39| 소수력
영흥해양소수력| 2| 201406| 4.6| 1035.89| 0| 31.28| 소수력
예천태양광| 1| 201406| 2.01| 230.37| 0| 15.92| 태양력
탑선태양광| 1| 201406| 0.61| 75.92| 0| 17.29| 태양력
탑선태양광| 3| 201406| 0.4| 44.85| 0| 15.57| 태양력
탕정태양광| 1| 201406| 1.2| 106.75| 0| 12.36| 태양력
경상대태양광| 1| 201405| 0.91| 141.93| 0| 20.96| 태양력
구미태양광| 1| 201405| 0.99| 157.06| 0| 21.32| 태양력
분당| CG1| 201405| 77.76| 26629| 28.6| 46.03| 복합
분당| CG2| 201405| 77.76| 20884| 28.01| 36.1| 복합
분당| CG3| 201405| 77.76| 3253| 27.63| 5.62| 복합
분당| CG4| 201405| 77.76| 19336| 28.16| 33.42| 복합
분당| CG5| 201405| 77.76| 7533| 27.67| 13.02| 복합
분당| CG6| 201405| 77.76| 1593| 26.25| 2.75| 복합
분당| CG7| 201405| 77.76| 0| 0| 0| 복합
분당| CG8| 201405| 77.76| 221| 16.86| .38| 복합
분당| CS1| 201405| 185| 30635| 0| 22.26| 복합
분당| CS2| 201405| 115| 0| 0| 0| 복합
분당연료전지| 1| 201405| 0.3| 101.85| 36.56| 45.63| 기타
분당연료전지| 2| 201405| 3.08| 2084.32| 37.1| 90.96| 기타
삼천포| 1| 201405| 560| 408155| 37.2| 97.96| 석탄
삼천포| 2| 201405| 560| 416835| 36| 100.05| 석탄
삼천포| 3| 201405| 560| 405231| 37.2| 97.26| 석탄
삼천포| 4| 201405| 560| 370703| 37.57| 88.97| 석탄
삼천포| 5| 201405| 500| 369882| 37.88| 99.43| 석탄
삼천포| 6| 201405| 500| 179864| 38| 48.35| 석탄
삼천포태양광| 1| 201405| 0.1| 12.83| 0| 17.24| 태양력
삼천포태양광| 2| 201405| 0.99| 152.01| 0| 20.64| 태양력
삼천포태양광| 3| 201405| 0.35| 52.94| 0| 20.33| 태양력
삼천포태양광| 4| 201405| 1.85| 269.21| 0| 19.56| 태양력
삼천포해양소수력| 1| 201405| 6| 2733.18| 0| 61.23| 소수력
여수| 2| 201405| 328.6| 245564| 38.68| 100.44| 석탄
여수태양광| 1| 201405| 0.22| 31.77| 0| 19.41| 태양력
영동| 1| 201405| 125| 50350.72| 34.2| 54.14| 국내탄
영동| 2| 201405| 200| 132178| 35.41| 88.83| 국내탄
영동태양광| 1| 201405| 1.07| 160.03| 0| 20.1| 태양력
영흥| 1| 201405| 800| 515653| 38.62| 86.64| 석탄
영흥| 2| 201405| 800| 579688| 38.45| 97.39| 석탄
영흥| 3| 201405| 870| 154470.57| 39.98| 23.86| 석탄
영흥| 4| 201405| 870| 632989.68| 39.68| 97.79| 석탄
영흥| 5| 201405| 0| 0| 0| 0| 석탄
영흥| 6| 201405| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201405| 1| 143.52| 0| 19.29| 태양력
영흥태양광| 2| 201405| 0.99| 140.21| 0| 19.04| 태양력
영흥풍력| 1| 201405| 22| 2377.87| 0| 14.53| 풍력
영흥풍력| 2| 201405| 24| 2424.25| 0| 13.58| 풍력
영흥해양소수력| 1| 201405| 3| 619.79| 0| 27.77| 소수력
영흥해양소수력| 2| 201405| 4.6| 1012.1| 0| 29.57| 소수력
예천태양광| 1| 201405| 2.01| 338.93| 0| 22.66| 태양력
탑선태양광| 1| 201405| 0.61| 95.73| 0| 21.09| 태양력
탑선태양광| 3| 201405| 0.4| 58.45| 0| 19.64| 태양력
탕정태양광| 1| 201405| 1.2| 179.25| 0| 20.08| 태양력
경상대태양광| 1| 201404| 0.91| 111.94| 0| 17.08| 태양력
구미태양광| 1| 201404| 0.99| 126.35| 0| 17.73| 태양력
분당| CG1| 201404| 77.76| 15746| 26.89| 28.12| 복합
분당| CG2| 201404| 77.76| 18111| 27.3| 32.35| 복합
분당| CG3| 201404| 77.76| 8987| 26.09| 16.05| 복합
분당| CG4| 201404| 77.76| 12204| 27.25| 21.8| 복합
분당| CG5| 201404| 77.76| 4381| 25.9| 7.83| 복합
분당| CG6| 201404| 77.76| 18973| 28.95| 33.89| 복합
분당| CG7| 201404| 77.76| 30800| 30.35| 55.01| 복합
분당| CG8| 201404| 77.76| 27931| 29.47| 49.89| 복합
분당| CS1| 201404| 185| 22098| 0| 16.59| 복합
분당| CS2| 201404| 115| 25337| 0| 30.6| 복합
분당연료전지| 1| 201404| 0.3| 157.29| 36.33| 72.82| 기타
분당연료전지| 2| 201404| 3.08| 1929.99| 33.26| 87.03| 기타
삼천포| 1| 201404| 560| 402666| 37.35| 99.87| 석탄
삼천포| 2| 201404| 560| 378052| 36.04| 93.76| 석탄
삼천포| 3| 201404| 560| 400578| 37.47| 99.35| 석탄
삼천포| 4| 201404| 560| 0| 0| 0| 석탄
삼천포| 5| 201404| 500| 364316| 37.32| 101.2| 석탄
삼천포| 6| 201404| 500| 365853| 37.83| 101.63| 석탄
삼천포태양광| 1| 201404| 0.1| 10.92| 0| 15.17| 태양력
삼천포태양광| 2| 201404| 0.99| 127.95| 0| 17.95| 태양력
삼천포태양광| 3| 201404| 0.35| 43.83| 0| 17.39| 태양력
삼천포태양광| 4| 201404| 1.85| 231.3| 0| 17.36| 태양력
삼천포해양소수력| 1| 201404| 6| 2411.22| 0| 55.82| 소수력
여수| 2| 201404| 328.6| 240061| 38.65| 101.47| 석탄
여수태양광| 1| 201404| 0.22| 25.05| 0| 15.81| 태양력
영동| 1| 201404| 125| 40942.72| 34.36| 45.49| 국내탄
영동| 2| 201404| 200| 141550| 35.39| 98.3| 국내탄
영동태양광| 1| 201404| 1.07| 124| 0| 16.1| 태양력
영흥| 1| 201404| 800| 573933| 39.22| 99.64| 석탄
영흥| 2| 201404| 800| 558384| 38.74| 96.94| 석탄
영흥| 3| 201404| 870| 228371.46| 39.75| 36.46| 석탄
영흥| 4| 201404| 870| 610919.25| 39.92| 97.53| 석탄
영흥| 5| 201404| 0| 0| 0| 0| 석탄
영흥| 6| 201404| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201404| 1| 109.83| 0| 15.25| 태양력
영흥태양광| 2| 201404| 0.99| 86.34| 0| 12.11| 태양력
영흥풍력| 1| 201404| 22| 1429.4| 0| 9.02| 풍력
영흥풍력| 2| 201404| 24| 1242.15| 0| 7.19| 풍력
영흥해양소수력| 1| 201404| 3| 555.23| 0| 25.71| 소수력
영흥해양소수력| 2| 201404| 4.6| 1037.81| 0| 31.33| 소수력
예천태양광| 1| 201404| 2.01| 272.22| 0| 18.81| 태양력
탑선태양광| 1| 201404| 0.61| 73.25| 0| 16.68| 태양력
탑선태양광| 3| 201404| 0.4| 44.29| 0| 15.38| 태양력
탕정태양광| 1| 201404| 1.2| 150| 0| 17.36| 태양력
경상대태양광| 1| 201403| 0.91| 108.07| 0| 15.96| 태양력
구미태양광| 1| 201403| 0.99| 98.22| 0| 13.33| 태양력
분당| CG1| 201403| 77.76| 44557| 29.12| 77.02| 복합
분당| CG2| 201403| 77.76| 34523| 28.7| 59.67| 복합
분당| CG3| 201403| 77.76| 39560| 29.5| 68.38| 복합
분당| CG4| 201403| 77.76| 30859| 28.8| 53.34| 복합
분당| CG5| 201403| 77.76| 19290| 28.7| 33.34| 복합
분당| CG6| 201403| 77.76| 0| 0| 0| 복합
분당| CG7| 201403| 77.76| 43400| 30.26| 75.02| 복합
분당| CG8| 201403| 77.76| 44782| 29.37| 77.41| 복합
분당| CS1| 201403| 185| 52597| 0| 38.21| 복합
분당| CS2| 201403| 115| 32040| 0| 37.45| 복합
분당연료전지| 1| 201403| 0.3| 203.53| 38.38| 91.19| 기타
분당연료전지| 2| 201403| 3.08| 2213.99| 37.27| 96.62| 기타
삼천포| 1| 201403| 560| 373604| 36.77| 89.67| 석탄
삼천포| 2| 201403| 560| 419481| 35.91| 100.68| 석탄
삼천포| 3| 201403| 560| 414558| 37.51| 99.5| 석탄
삼천포| 4| 201403| 560| 280894| 37.63| 67.42| 석탄
삼천포| 5| 201403| 500| 378851| 37.08| 101.84| 석탄
삼천포| 6| 201403| 500| 375261| 37.53| 100.88| 석탄
삼천포태양광| 1| 201403| 0.1| 11| 0| 14.78| 태양력
삼천포태양광| 2| 201403| 0.99| 127.21| 0| 17.27| 태양력
삼천포태양광| 3| 201403| 0.35| 43.59| 0| 16.74| 태양력
삼천포태양광| 4| 201403| 1.85| 227.88| 0| 16.56| 태양력
삼천포해양소수력| 1| 201403| 6| 2773.74| 0| 62.14| 소수력
여수| 2| 201403| 328.6| 206380| 38.34| 84.42| 석탄
여수태양광| 1| 201403| 0.22| 22.58| 0| 13.8| 태양력
영동| 1| 201403| 125| 90724.48| 34.4| 97.55| 국내탄
영동| 2| 201403| 200| 146941| 35.46| 98.75| 국내탄
영동태양광| 1| 201403| 1.07| 121.25| 0| 15.23| 태양력
영흥| 1| 201403| 800| 593161| 39.13| 99.66| 석탄
영흥| 2| 201403| 800| 586544| 38.98| 98.55| 석탄
영흥| 3| 201403| 870| 647569.08| 39.68| 100.04| 석탄
영흥| 4| 201403| 870| 305060.12| 38.56| 47.13| 석탄
영흥| 5| 201403| 0| 0| 0| 0| 석탄
영흥| 6| 201403| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201403| 1| 122.93| 0| 16.52| 태양력
영흥태양광| 2| 201403| 0.99| 106.83| 0| 14.5| 태양력
영흥풍력| 1| 201403| 22| 2834.09| 0| 17.31| 풍력
영흥풍력| 2| 201403| 24| 2603.07| 0| 14.58| 풍력
영흥해양소수력| 1| 201403| 3| 762.31| 0| 34.15| 소수력
영흥해양소수력| 2| 201403| 4.6| 1077.31| 0| 31.48| 소수력
예천태양광| 1| 201403| 2.01| 249.89| 0| 16.71| 태양력
탑선태양광| 1| 201403| 0.61| 63.45| 0| 13.98| 태양력
탑선태양광| 3| 201403| 0.4| 40.18| 0| 13.5| 태양력
경상대태양광| 1| 201402| 0.91| 79.86| 0| 13.06| 태양력
구미태양광| 1| 201402| 0.99| 70.31| 0| 10.57| 태양력
분당| CG1| 201402| 77.76| 47666| 29.23| 91.22| 복합
분당| CG2| 201402| 77.76| 32121| 28.79| 61.47| 복합
분당| CG3| 201402| 77.76| 44156| 29.35| 84.5| 복합
분당| CG4| 201402| 77.76| 41739| 29.27| 79.88| 복합
분당| CG5| 201402| 77.76| 37696| 28.95| 72.14| 복합
분당| CG6| 201402| 77.76| 41937| 30.03| 80.25| 복합
분당| CG7| 201402| 77.76| 33355| 30.64| 63.83| 복합
분당| CG8| 201402| 77.76| 46873| 29.8| 89.7| 복합
분당| CS1| 201402| 185| 59001| 0| 47.46| 복합
분당| CS2| 201402| 115| 44267| 0| 57.28| 복합
분당연료전지| 1| 201402| 0.3| 180.49| 38.2| 89.53| 기타
분당연료전지| 2| 201402| 3.08| 2049.93| 38.17| 99.04| 기타
삼천포| 1| 201402| 560| 239809| 35.82| 63.72| 석탄
삼천포| 2| 201402| 560| 367297| 35.88| 97.6| 석탄
삼천포| 3| 201402| 560| 365688| 37.34| 97.17| 석탄
삼천포| 4| 201402| 560| 377041| 37.58| 100.19| 석탄
삼천포| 5| 201402| 500| 339581| 37.38| 101.07| 석탄
삼천포| 6| 201402| 500| 339486| 37.77| 101.04| 석탄
삼천포태양광| 1| 201402| 0.1| 8.22| 0| 12.23| 태양력
삼천포태양광| 2| 201402| 0.99| 93.46| 0| 14.05| 태양력
삼천포태양광| 3| 201402| 0.35| 31.49| 0| 13.39| 태양력
삼천포태양광| 4| 201402| 1.85| 162.1| 0| 13.04| 태양력
삼천포해양소수력| 1| 201402| 10.74| 2560.7| 0| 35.48| 소수력
여수| 2| 201402| 328.6| 225226| 37.31| 102| 석탄
여수태양광| 1| 201402| 0.22| 18.02| 0| 12.19| 태양력
영동| 1| 201402| 125| 78023.68| 34.5| 92.89| 국내탄
영동| 2| 201402| 200| 125328| 35.48| 93.25| 국내탄
영동태양광| 1| 201402| 1.07| 64.2| 0| 8.93| 태양력
영흥| 1| 201402| 800| 535713| 39.18| 99.65| 석탄
영흥| 2| 201402| 800| 527714| 39.27| 98.16| 석탄
영흥| 3| 201402| 870| 578939.78| 39.55| 99.03| 석탄
영흥| 4| 201402| 870| 283581.09| 39.08| 48.51| 석탄
영흥| 5| 201402| 0| 0| 0| 0| 석탄
영흥| 6| 201402| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201402| 1| 90.41| 0| 13.45| 태양력
영흥태양광| 2| 201402| 0.99| 34.54| 0| 5.19| 태양력
영흥풍력| 1| 201402| 22| 1812.28| 0| 12.26| 풍력
영흥풍력| 2| 201402| 24| 1630.72| 0| 10.11| 풍력
영흥해양소수력| 1| 201402| 3| 703.3| 0| 34.89| 소수력
영흥해양소수력| 2| 201402| 4.6| 1179.88| 0| 38.17| 소수력
예천태양광| 1| 201402| 2.01| 169.83| 0| 12.57| 태양력
탑선태양광| 1| 201402| 0.61| 44.02| 0| 10.74| 태양력
탑선태양광| 3| 201402| 0.4| 28.11| 0| 10.46| 태양력
탕정태양광| 1| 201402| 1.2| 98.84| 0| 12.26| 태양력
경상대태양광| 1| 201401| 0.91| 94.73| 0| 13.99| 태양력
구미태양광| 1| 201401| 0.99| 101.74| 0| 13.81| 태양력
분당| CG1| 201401| 77.76| 42770| 29.29| 73.93| 복합
분당| CG2| 201401| 77.76| 38864| 29.08| 67.18| 복합
분당| CG3| 201401| 77.76| 62287| 29.68| 107.66| 복합
분당| CG4| 201401| 77.76| 61319| 29.42| 105.99| 복합
분당| CG5| 201401| 77.76| 44480| 29.26| 76.88| 복합
분당| CG6| 201401| 77.76| 57179| 30.17| 98.83| 복합
분당| CG7| 201401| 77.76| 49144| 30.81| 84.95| 복합
분당| CG8| 201401| 77.76| 43319| 29.81| 74.88| 복합
분당| CS1| 201401| 185| 71900| 0| 52.24| 복합
분당| CS2| 201401| 115| 56742| 0| 66.32| 복합
분당연료전지| 1| 201401| 0.3| 141.59| 38.2| 63.44| 기타
분당연료전지| 2| 201401| 3.08| 2224.05| 39.13| 97.06| 기타
삼천포| 1| 201401| 560| 410976| 36.79| 98.64| 석탄
삼천포| 2| 201401| 560| 391109| 36.11| 93.87| 석탄
삼천포| 3| 201401| 560| 396928| 37.49| 95.27| 석탄
삼천포| 4| 201401| 560| 408533| 37.59| 98.05| 석탄
삼천포| 5| 201401| 500| 373143| 37.12| 100.31| 석탄
삼천포| 6| 201401| 500| 379961| 37.73| 102.14| 석탄
삼천포태양광| 1| 201401| 0.1| 10.63| 0| 14.29| 태양력
삼천포태양광| 2| 201401| 0.99| 110.29| 0| 14.97| 태양력
삼천포태양광| 3| 201401| 0.35| 31.89| 0| 12.25| 태양력
삼천포태양광| 4| 201401| 1.85| 210.77| 0| 15.31| 태양력
삼천포해양소수력| 1| 201401| 4.74| 2959.22| 0| 83.91| 소수력
여수| 2| 201401| 328.6| 227238| 37.59| 92.95| 석탄
여수태양광| 1| 201401| 0.22| 19.07| 0| 11.65| 태양력
영동| 1| 201401| 125| 85193.92| 34.41| 91.61| 국내탄
영동| 2| 201401| 200| 128837| 34.86| 86.58| 국내탄
영동태양광| 1| 201401| 1.07| 87.36| 0| 10.97| 태양력
영흥| 1| 201401| 800| 593618| 39.16| 99.73| 석탄
영흥| 2| 201401| 800| 584743| 39.81| 98.24| 석탄
영흥| 3| 201401| 870| 566480.6| 39.24| 87.52| 석탄
영흥| 4| 201401| 870| 638920.43| 39.18| 98.71| 석탄
영흥| 5| 201401| 0| 0| 0| 0| 석탄
영흥| 6| 201401| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201401| 1| 74.15| 0| 9.97| 태양력
영흥풍력| 1| 201401| 22| 2795.15| 0| 17.08| 풍력
영흥풍력| 2| 201401| 24| 2598.7| 0| 14.55| 풍력
영흥해양소수력| 1| 201401| 3| 1046.18| 0| 46.87| 소수력
영흥해양소수력| 2| 201401| 4.6| 1459.8| 0| 42.65| 소수력
예천태양광| 1| 201401| 2.01| 186.91| 0| 12.5| 태양력
탑선태양광| 1| 201401| 0.61| 38.62| 0| 8.51| 태양력
탑선태양광| 3| 201401| 0.4| 27.22| 0| 9.15| 태양력
탕정태양광| 1| 201401| 1.2| 88.56| 0| 9.92| 태양력
경상대태양광| 1| 201312| 0.91| 31.27| 0| 4.62| 태양력
구미태양광| 1| 201312| 0.99| 90.99| 0| 12.35| 태양력
분당| CG1| 201312| 77.76| 34455| 29.21| 59.56| 복합
분당| CG2| 201312| 77.76| 32005| 29.04| 55.32| 복합
분당| CG3| 201312| 77.76| 37124| 29.42| 64.17| 복합
분당| CG4| 201312| 77.76| 25409| 29.33| 43.92| 복합
분당| CG5| 201312| 77.76| 30596| 29.39| 52.89| 복합
분당| CG6| 201312| 77.76| 56966| 30.11| 98.47| 복합
분당| CG7| 201312| 77.76| 57226| 30.44| 98.92| 복합
분당| CG8| 201312| 77.76| 53984| 29.85| 93.31| 복합
분당| CS1| 201312| 185| 44735| 0| 32.5| 복합
분당| CS2| 201312| 115| 55511| 0| 64.88| 복합
분당연료전지| 1| 201312| 0.3| 179.57| 43.53| 80.45| 기타
분당연료전지| 2| 201312| 3.08| 2218.57| 37.2| 96.82| 기타
삼천포| 1| 201312| 560| 413394| 36.69| 99.22| 석탄
삼천포| 2| 201312| 560| 399930| 36.04| 95.99| 석탄
삼천포| 3| 201312| 560| 416119| 37.19| 99.87| 석탄
삼천포| 4| 201312| 560| 419534| 37.83| 100.69| 석탄
삼천포| 5| 201312| 500| 380196| 37.35| 102.2| 석탄
삼천포| 6| 201312| 500| 385261| 37.95| 103.56| 석탄
삼천포태양광| 1| 201312| 0.1| 9.98| 0| 13.41| 태양력
삼천포태양광| 2| 201312| 0.99| 99.05| 0| 13.45| 태양력
삼천포태양광| 3| 201312| 0.35| 24.96| 0| 9.59| 태양력
삼천포태양광| 4| 201312| 1.85| 187.01| 0| 13.59| 태양력
삼천포해양소수력| 1| 201312| 4.74| 2906.14| 0| 82.41| 소수력
여수| 2| 201312| 328.6| 244835| 36.26| 100.15| 석탄
여수태양광| 1| 201312| 0.22| 17.26| 0| 10.54| 태양력
영동| 1| 201312| 125| 86972.48| 31.74| 93.52| 국내탄
영동| 2| 201312| 200| 69762| 32.34| 46.88| 국내탄
영동태양광| 1| 201312| 1.07| 88.21| 0| 11.08| 태양력
영흥| 1| 201312| 800| 592370.56| 38.58| 99.52| 석탄
영흥| 2| 201312| 800| 589061| 39.12| 98.97| 석탄
영흥| 3| 201312| 870| 646950.42| 39.22| 99.95| 석탄
영흥| 4| 201312| 870| 645018.94| 38.94| 99.65| 석탄
영흥| 5| 201312| 0| 0| 0| 0| 석탄
영흥| 6| 201312| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201312| 1| 53.5| 0| 7.19| 태양력
영흥풍력| 1| 201312| 22| 2759.7| 0| 16.86| 풍력
영흥풍력| 2| 201312| 24| 3136.23| 0| 17.56| 풍력
영흥해양소수력| 1| 201312| 3| 1063.81| 0| 47.66| 소수력
영흥해양소수력| 2| 201312| 4.6| 1329.06| 0| 38.83| 소수력
탑선태양광| 1| 201312| 0.61| 28.01| 0| 6.17| 태양력
탑선태양광| 3| 201312| 0.4| 19.89| 0| 6.68| 태양력
구미태양광| 1| 201311| 0.99| 95.08| 0| 13.34| 태양력
분당| CG1| 201311| 77.76| 4535| 28.69| 8.1| 복합
분당| CG2| 201311| 77.76| 3789| 28.24| 6.77| 복합
분당| CG3| 201311| 77.76| 4251| 29.29| 7.59| 복합
분당| CG4| 201311| 77.76| 3958| 28.8| 7.07| 복합
분당| CG5| 201311| 77.76| 3544| 28.74| 6.33| 복합
분당| CG6| 201311| 77.76| 54856| 30.02| 97.98| 복합
분당| CG7| 201311| 77.76| 55341| 29.35| 98.85| 복합
분당| CG8| 201311| 77.76| 55154| 29.73| 98.51| 복합
분당| CS1| 201311| 185| 0| 0| 0| 복합
분당| CS2| 201311| 115| 50560| 0| 61.06| 복합
분당연료전지| 1| 201311| 0.3| 188.03| 37.77| 87.05| 기타
분당연료전지| 2| 201311| 3.08| 2139.93| 37.38| 96.5| 기타
삼천포| 1| 201311| 560| 379156| 36.12| 94.04| 석탄
삼천포| 2| 201311| 560| 404302| 35.99| 100.27| 석탄
삼천포| 3| 201311| 560| 366089| 37.01| 90.8| 석탄
삼천포| 4| 201311| 560| 402786| 37.7| 99.9| 석탄
삼천포| 5| 201311| 500| 233295| 37.86| 64.8| 석탄
삼천포| 6| 201311| 500| 267038| 38.27| 74.18| 석탄
삼천포태양광| 1| 201311| 0.1| 10| 0| 13.89| 태양력
삼천포태양광| 2| 201311| 0.99| 110.51| 0| 15.5| 태양력
삼천포태양광| 3| 201311| 0.35| 33.82| 0| 13.42| 태양력
삼천포태양광| 4| 201311| 1.85| 195.17| 0| 14.65| 태양력
삼천포해양소수력| 1| 201311| 4.74| 2619.72| 0| 76.76| 소수력
여수| 2| 201311| 328.6| 208812| 36.29| 88.26| 석탄
여수태양광| 1| 201311| 0.22| 18.35| 0| 11.58| 태양력
영동| 1| 201311| 125| 81206.72| 31.83| 90.23| 국내탄
영동| 2| 201311| 200| 0| 0| 0| 국내탄
영동태양광| 1| 201311| 1.07| 111.78| 0| 14.51| 태양력
영흥| 1| 201311| 800| 182439| 37.65| 31.67| 석탄
영흥| 2| 201311| 800| 570502| 39.18| 99.05| 석탄
영흥| 3| 201311| 870| 621618.92| 39.57| 99.24| 석탄
영흥| 4| 201311| 870| 625620.29| 38.99| 99.88| 석탄
영흥| 5| 201311| 0| 0| 0| 0| 석탄
영흥태양광| 1| 201311| 1| 68.17| 0| 9.47| 태양력
영흥풍력| 1| 201311| 22| 3395| 0| 21.43| 풍력
영흥풍력| 2| 201311| 24| 3922.97| 0| 22.7| 풍력
영흥해양소수력| 1| 201311| 3| 1064.9| 0| 49.3| 소수력
영흥해양소수력| 2| 201311| 4.6| 1263.33| 0| 38.14| 소수력
예천태양광| 1| 201311| 2.01| 178.49| 0| 12.33| 태양력
탑선태양광| 1| 201311| 0.61| 32.83| 0| 7.47| 태양력
탑선태양광| 3| 201311| 0.4| 23.21| 0| 8.06| 태양력
탕정태양광| 1| 201311| 1.2| 79.62| 0| 9.22| 태양력
구미태양광| 1| 201310| 0.99| 116.95| 0| 15.88| 태양력
분당| CG1| 201310| 77.76| 35927| 28.03| 62.1| 복합
분당| CG2| 201310| 77.76| 31206| 27.47| 53.94| 복합
분당| CG3| 201310| 77.76| 33469| 28.26| 57.85| 복합
분당| CG4| 201310| 77.76| 31745| 27.73| 54.87| 복합
분당| CG5| 201310| 77.76| 30134| 27.83| 52.09| 복합
분당| CG6| 201310| 77.76| 46892| 29.45| 81.05| 복합
분당| CG7| 201310| 77.76| 10511| 29.56| 18.17| 복합
분당| CG8| 201310| 77.76| 47872| 29.43| 82.75| 복합
분당| CS1| 201310| 185| 60827| 0| 44.19| 복합
분당| CS2| 201310| 115| 41651| 0| 48.68| 복합
분당연료전지| 1| 201310| 0.3| 193.5| 36.72| 86.69| 기타
분당연료전지| 2| 201310| 3.08| 1982.71| 37.13| 86.52| 기타
삼천포| 1| 201310| 560| 418312| 35.92| 100.4| 석탄
삼천포| 2| 201310| 560| 152169| 35.84| 36.52| 석탄
삼천포| 3| 201310| 560| 0| 0| 0| 석탄
삼천포| 4| 201310| 560| 415244| 37.75| 99.66| 석탄
삼천포| 5| 201310| 500| 380416| 37.47| 102.26| 석탄
삼천포| 6| 201310| 500| 335150| 37.58| 90.09| 석탄
삼천포태양광| 1| 201310| 0.1| 10.12| 0| 13.6| 태양력
삼천포태양광| 2| 201310| 0.99| 118.57| 0| 16.1| 태양력
삼천포태양광| 3| 201310| 0.35| 40.85| 0| 15.69| 태양력
삼천포태양광| 4| 201310| 1.85| 212.13| 0| 15.41| 태양력
삼천포해양소수력| 1| 201310| 4.74| 2217.27| 0| 62.87| 소수력
여수| 2| 201310| 328.6| 225799| 36.67| 92.36| 석탄
여수태양광| 1| 201310| 0.22| 23.31| 0| 14.24| 태양력
영동| 1| 201310| 125| 90849.92| 31.96| 97.69| 국내탄
영동| 2| 201310| 200| 114484| 33.3| 76.94| 국내탄
영동태양광| 1| 201310| 1.07| 107.39| 0| 13.49| 태양력
영흥| 1| 201310| 800| 265961| 39.68| 44.68| 석탄
영흥| 2| 201310| 800| 584675| 39.42| 98.23| 석탄
영흥| 3| 201310| 870| 589480.07| 40| 91.07| 석탄
